user_id,first_name,last_name,email,signup_date,country
1,Dakota,Garcia,dakota.garcia1@example.com,2025-10-10,Canada
2,Parker,Lopez,parker.lopez2@example.com,2025-02-23,Canada
3,Riley,Chen,riley.chen3@example.com,2025-09-30,UK
4,Jordan,Nguyen,jordan.nguyen4@example.com,2025-01-11,Germany
5,Parker,Patel,parker.patel5@example.com,2024-12-20,Canada
6,Harper,Bennett,harper.bennett6@example.com,2025-03-05,Brazil
7,Harper,Nguyen,harper.nguyen7@example.com,2025-09-01,Canada
8,Quinn,Lopez,quinn.lopez8@example.com,2025-06-01,Canada
9,Parker,Nguyen,parker.nguyen9@example.com,2025-11-08,Brazil
10,Avery,Chen,avery.chen10@example.com,2025-05-30,Australia
11,Avery,Walker,avery.walker11@example.com,2024-12-01,Canada
12,Riley,Lee,riley.lee12@example.com,2024-12-31,India
13,Avery,Garcia,avery.garcia13@example.com,2025-09-15,UK
14,Quinn,Garcia,quinn.garcia14@example.com,2025-01-12,Germany
15,Jordan,Patel,jordan.patel15@example.com,2024-12-28,USA
16,Dakota,Bennett,dakota.bennett16@example.com,2025-03-06,Australia
17,Harper,Bennett,harper.bennett17@example.com,2025-09-22,India
18,Harper,Walker,harper.walker18@example.com,2025-06-13,Canada
19,Avery,Lee,avery.lee19@example.com,2025-05-04,Brazil
20,Emerson,Walker,emerson.walker20@example.com,2025-10-24,Australia
21,Jordan,Nguyen,jordan.nguyen21@example.com,2025-05-13,India
22,Riley,Chen,riley.chen22@example.com,2025-09-15,Canada
23,Quinn,Walker,quinn.walker23@example.com,2025-06-10,India
24,Riley,Lee,riley.lee24@example.com,2025-08-28,UK
25,Quinn,Lee,quinn.lee25@example.com,2025-10-04,USA
26,Dakota,Patel,dakota.patel26@example.com,2025-06-15,India
27,Jordan,Lopez,jordan.lopez27@example.com,2025-08-31,Australia
28,Emerson,Nguyen,emerson.nguyen28@example.com,2025-03-01,Germany
29,Quinn,Garcia,quinn.garcia29@example.com,2025-07-02,Canada
30,Jordan,Nguyen,jordan.nguyen30@example.com,2025-07-20,Brazil
31,Avery,Lee,avery.lee31@example.com,2025-04-12,India
32,Avery,Patel,avery.patel32@example.com,2025-09-08,Germany
33,Harper,Walker,harper.walker33@example.com,2025-10-19,USA
34,Quinn,Walker,quinn.walker34@example.com,2025-05-21,Brazil
35,Parker,Chen,parker.chen35@example.com,2025-03-02,Brazil
36,Quinn,Chen,quinn.chen36@example.com,2025-04-16,UK
37,Quinn,Nguyen,quinn.nguyen37@example.com,2025-07-04,Brazil
38,Riley,Bennett,riley.bennett38@example.com,2025-09-28,Canada
39,Riley,Garcia,riley.garcia39@example.com,2025-03-27,Australia
40,Emerson,Lopez,emerson.lopez40@example.com,2025-10-02,UK
41,Quinn,Patel,quinn.patel41@example.com,2025-04-23,Australia
42,Riley,Garcia,riley.garcia42@example.com,2024-11-28,Germany
43,Emerson,Nguyen,emerson.nguyen43@example.com,2025-07-13,India
44,Avery,Nguyen,avery.nguyen44@example.com,2025-08-14,Brazil
45,Riley,Nguyen,riley.nguyen45@example.com,2025-10-02,Canada
46,Dakota,Lopez,dakota.lopez46@example.com,2025-09-16,India
47,Jordan,Patel,jordan.patel47@example.com,2025-01-14,Australia
48,Harper,Lee,harper.lee48@example.com,2025-06-20,Germany
49,Jordan,Walker,jordan.walker49@example.com,2025-08-15,Germany
50,Harper,Lee,harper.lee50@example.com,2025-02-15,Canada
